id,empresa,segmento
76804,bet365,apostas
18598,sportingbet,apostas
GY8NGYlobI4FPcTZ,betano,apostas
106278,betfair,apostas
RpZ3Ktc2B1Ng2iHD,pixbet,apostas
knIrmsHcDugES1br,estrelabet,apostas
90DsVv_IWVkgr5GE,betnacional,apostas
MOByJdwgRX-4Kk0A,kto-sportsbook-betting-casino-online,apostas
Azy0j6BlGo95ApKe,marjosports,apostas
n_ATccuVQozJrDcd,betway,apostas
Ww9GmN8MyecFhiz-,betsul,apostas
22144,betmotion,apostas
WjJ-5gM7XA03gS7N,sportsbet-io,apostas
zLpMQ7gZH21QIeDo,1xbet-com,apostas
1165498,galera-bet,apostas
36990,steam,gaming_grande
PnySS7vjcY5dzs8F,neshastore,gaming
v7Oq6A9X20ubHiR1,proskins-gg,gaming
55-qgNHwNnr6n24P,dmarket-com,gaming
10023,pagseguro,pix
19773,mercado-pago,pix
vDrnB_nyfxtJ7kK5,udemy,learning
IOHrE0hyU7Nnjlyz,coursera,learning
