,company_name,description,href,full_complain
0,neshastore,"Entrou no meu cartão uma cobrança indevida no valor  de R$ 606,30, as ooh27. Nunca adquiri nenhum produto e nem se quer conhecia e",cobranca-indevida_taQEk838yrKQ9wvL,"Entrou no meu cartão uma cobrança indevida no valor  de R$ 606,30, as ooh27. Nunca adquiri nenhum produto e nem se quer conhecia este site. Solicito estorno do valor urgente."
1,neshastore,Hoje recebi uma mensagem do mercado livre sobre um pagamento recusado na minha conta mercado pago.. Fui olhar pra ver do que se tr,compras-efetuadas-indevidamente-pelo-mercado-pago-dia-290422_j9Eb47185hWZi7AS,"Hoje recebi uma mensagem do mercado livre sobre um pagamento recusado na minha conta mercado pago.. Fui olhar pra ver do que se tratava e era não só 1, mas varias compras efetuadas nesse site com cartoes que inclusive nem são meus..Preciso cancelar as compras que foram aprovadas (algums outras foram automaticamente recusadas).Tudo, quem foi comprado no dia 29/04/2022 é [Editado pelo Reclame Aqui] e quero cancelamento. "
2,neshastore,"Fui informado pelo mercado livre sobre compra no meu nome na Neshastore, quero informar que não foi de minha autoria e desconheço ",compras-no-mercado-livre-usando-meus-nome_HX80_iiM9HbQp9fZ,"Fui informado pelo mercado livre sobre compra no meu nome na Neshastore, quero informar que não foi de minha autoria e desconheço essa Neshastore, ou seja fui vítima de compra sem meu conhecimento."
3,neshastore,"FORAM FEITAS VARIAS COMPRAS DIA 1/05 NO MEU CARTAO DE CREDITO DO MERCADO PAGO, VARIAS COMPRAS AS 9 DA NOITE, EU CANCELEI TUDO, VAR",compras-indevida-mercado-pago-absurdooooooooooooooooooooo_gV0fJIUSLz0Sh5IW,"FORAM FEITAS VARIAS COMPRAS DIA 1/05 NO MEU CARTAO DE CREDITO DO MERCADO PAGO, VARIAS COMPRAS AS 9 DA NOITE, EU CANCELEI TUDO, VARIAS PESSOAS SENDO LEZADAS NESSE SITE NESHA STORESua reclamação n. 5124250333n. 5124250852n. 5124250892n. 5124251629n. 5124251597n. 5124251570n. 5124250950n. 5124250269tudo isso aqui foi gasto neste site, entrei em contato com o atendente e foi super arrogante, dizendo que deveria ser tudo conversado com o mercadopago, sabendo que todo consumidor tem 7 dias para arrependiumento de compra, mesmo que fosse eu que tivesse feito esssas compras, quero uma explicação plausivel e todo meu dinheiro devolta, isso é [Editado pelo Reclame Aqui] e invasão de privacidade."
4,neshastore,"No dia 01/05/2022 recebi a notificação do cartão informando que foi efetuada uma compra de 153,30 no Neshastore. Não efetuei essa ",compras-indevidas-no-meu-cartao-mercadopago_f2eFFRDE_PgC6G_G,"No dia 01/05/2022 recebi a notificação do cartão informando que foi efetuada uma compra de 153,30 no Neshastore. Não efetuei essa compra e não conhecia esse site até o momento em que pesquisei para saber onde foi realizada tal compra. Solicito por gentileza o estorno. É injusto pagar por algo que não comprei."
5,neshastore,"Percebi hoje dia 03/05/2022 ás 04:10 da manhã, uma série de compras no meu cartão mercado pago nesse site Neshastore.com, eu nunca",varias-cobrancas-indevidas-no-meu-csrtao-mercado-pago_905H9DBxRt63Slhg,"Percebi hoje dia 03/05/2022 ás 04:10 da manhã, uma série de compras no meu cartão mercado pago nesse site Neshastore.com, eu nunca ouvi falar dele, e nunca acessei até agora. peço que resolva isso, ou procurarei o PROCON ou o Pequenas Causas, o que for necessário. como isso foi acontecer?"
6,neshastore,"2 compras que NÃO REALIZEI foram debitadas da minha conta do mercado pago, entrei em contato com a empresa pelo email, para que is",compras-debitadas-que-eu-nao-realizei-e-falta-de-resposta_RuMwW4vkLRjAHRfk,"2 compras que NÃO REALIZEI foram debitadas da minha conta do mercado pago, entrei em contato com a empresa pelo email, para que isso fosse esclarecido, me responderam dizendo que resolveriam o problema e perguntando o valor das compras e o numero de protocolo referente a cada compra, enviei a semanas e ninguem respondeu nada sobre isto.Mandei novamente um email pedindo um esclarecimento sobre o caso e não houve respostas novamente."
7,neshastore,"Recentemente apareceu em meu Mercado Pago compras efetuadas no site Nesha, sendo que até a presente data desconhecia o mesmo! Nunc",compras-indevidas-no-site-nesha_l7f67yEcIG0DZde8,"Recentemente apareceu em meu Mercado Pago compras efetuadas no site Nesha, sendo que até a presente data desconhecia o mesmo! Nunca comprei nada, estou sendo vítima! Gostaria de resolver, mas todas as vezes que entrei em contato com o site não fui atendido! "
8,neshastore,"Dia 20 de março de 2022, foi feita uma compra indevida no valor de 69,50reais em nome de NeshaStore, site que eu nunca tinha ouvid",compra-indevida_Wl6Q3kU5spG5_gMB,"Dia 20 de março de 2022, foi feita uma compra indevida no valor de 69,50reais em nome de NeshaStore, site que eu nunca tinha ouvido falar. Simplesmente apareceu essa compra em meu cartão sem ao menos ter uma descrição do tal produto, tentei entrar em contato e não obtive resposta, solicito o reembolso imediato de tal compra, ou terei que buscar ajudar por meios legais"
9,neshastore,"Não sei como mas apareceu umas compras em meu mercado pago e conta esse site, nunca acessei o mesmo e muito menos fiz compras nele",compras-indevidas_qfVl2fIpREmS52qd,"Não sei como mas apareceu umas compras em meu mercado pago e conta esse site, nunca acessei o mesmo e muito menos fiz compras nele ! Quero meu dinheiro de volta "
