company_name,percentage_male,age_18-24,age_25-34,age_35-44,age_45plus,bounce_rate,visit_duration_min
csmoney,0.82,0.354,0.323,0.153,0.17,0.482,4
skinbaron,0.78,0.315,0.301,0.170,0.211,0.233,7
key-drop,0.77,0.43,0.25,0.139,0.18,0.239,6
ggdrop,0.71,0.288,0.306,0.174,0.231,0.326,5
hellcase,0.77,0.32,0.292,0.169,0.218,0.233,5
neshastore,0.77,0.355,0.337,0.155,0.153,0.262,6
proskins,0.77,0.368,0.32,0.15,0.161,0.139,5
dmarket,0.80,0.337,0.32,0.158,0.185,0.38,5
bitskins,0.75,0.313,0.309,0.169,0.209,0.331,8
skincashier,0.67,0.316,0.304,0.169,0.21,0.414,3
tradeit.gg,0.73,0.316,0.317,0.165,0.201,0.421,5
